code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,peg
603520,司太立,化学制药,浙江,31.38,0.65,1.2,204218.31,83802.5,65459.38,45597.76,3.8,0.454,6.9,4.13,20160309,21150.25,1.76,10.82,16.6,37.92,13.72,15507.0,2.90018484288
300500,启迪设计,建筑施工,江苏,73.56,0.34,1.23,91902.61,61313.2,5210.28,38966.68,3.17,0.27,5.81,6.66,20160204,22133.03,1.8,25.28,2.83,44.68,14.92,18799.0,2.90981012658
002394,联发股份,纺织,江苏,15.96,3.24,3.24,486253.56,268361.34,142672.31,96341.4,2.98,0.435,8.95,1.55,20100423,143552.77,4.43,5.47,-4.48,18.21,7.15,18309.0,2.91773308958
000571,新大洲Ａ,煤炭开采,海南,61.32,8.06,8.14,481307.91,167297.94,152824.95,64690.46,0.79,0.06,2.72,2.68,19940525,67866.13,0.83,20.91,32.83,20.53,10.46,86904.0,2.93256814921
600623,华谊集团,汽车配件,上海,36.0,9.34,21.17,3669896.75,1706801.25,1113675.5,905652.38,4.28,0.152,7.75,1.41,19921204,488668.0,2.31,12.27,58.79,6.28,1.32,78925.0,2.93398533007
002709,天赐材料,化工原料,广东,49.43,1.87,3.4,279526.97,136785.56,65948.4,55243.57,1.62,0.55,5.36,9.59,20140123,82936.55,2.44,16.76,-8.22,36.13,18.9,47699.0,2.94928400955
300375,鹏翎股份,汽车配件,天津,27.37,1.34,1.86,156114.55,93524.31,49793.48,36012.17,1.94,0.35,6.95,2.75,20140127,64449.5,3.47,9.25,4.34,26.96,11.61,11384.0,2.95891891892
002735,王子新材,塑料,深圳,84.32,0.23,0.84,64418.5,52418.89,8302.05,16263.69,1.93,0.24,6.23,6.2,20141203,24549.26,2.91,28.41,58.44,25.0,7.37,11710.0,2.96796902499
002409,雅克科技,化工原料,江苏,85.2,1.81,3.44,199685.02,88584.95,28465.6,70392.36,2.05,0.124,4.54,4.65,20100525,45140.75,1.31,28.46,40.76,24.58,7.82,8371.0,2.9936753338
002520,日发精机,机床制造,浙江,72.69,5.3,5.54,249100.2,192917.77,32874.65,97096.15,1.75,0.07,3.12,3.28,20101210,14466.87,0.26,24.2,46.02,35.34,7.63,32996.0,3.00371900826
300543,朗科智能,电气设备,深圳,61.54,0.43,1.2,90222.56,61218.96,17703.65,27025.15,2.25,0.58,1.35,30.81,20160908,19365.4,1.61,20.48,14.64,19.69,8.37,15174.0,3.0048828125
002055,得润电子,元器件,深圳,63.72,4.03,4.67,700113.81,494672.84,79821.75,62887.92,1.35,0.2,3.97,6.3,20060725,69153.15,1.48,21.15,71.97,14.51,3.8,44944.0,3.01276595745
300353,东土科技,通信设备,北京,93.58,3.28,5.17,280075.69,112843.76,12935.07,135557.56,2.62,0.084,4.13,3.82,20120927,23390.74,0.45,31.02,16.57,53.7,12.87,36055.0,3.01676337847
000952,广济药业,化学制药,湖北,40.62,2.52,2.52,161378.77,40662.1,87172.96,6079.37,0.24,0.201,2.8,5.85,19991112,31642.71,1.26,13.44,-10.84,49.02,14.11,37525.0,3.02232142857
000899,赣能股份,火力发电,江西,39.29,6.47,9.76,750238.56,175306.27,342945.5,243347.59,2.49,0.094,4.67,1.58,19971126,81656.72,0.84,12.97,-64.2,13.38,8.62,42084.0,3.02929838088
603858,步长制药,中成药,山东,35.36,0.7,6.82,1755588.25,685178.75,127274.9,384400.78,5.64,0.995,17.87,3.94,20161118,732633.5,10.75,11.66,12.03,82.33,11.79,55573.0,3.03259005146
002828,贝肯能源,石油开采,新疆,88.53,0.29,1.2,113360.42,78448.18,31176.24,32999.48,2.76,0.15,7.23,3.7,20161208,31487.69,2.63,29.18,37.6,24.79,8.84,15056.0,3.0339273475
600891,秋林集团,百货,黑龙江,32.12,3.84,6.18,591023.75,509434.25,20733.73,150007.92,2.43,0.13,4.83,1.72,19960325,77577.9,1.26,10.56,-43.92,8.15,2.76,46627.0,3.04166666667
002790,瑞尔特,家居用品,福建,31.7,0.4,1.6,152584.98,110559.67,38494.55,66656.49,4.17,0.511,8.6,3.77,20160308,48088.35,3.01,10.39,4.6,34.23,18.95,18430.0,3.0510105871
000603,盛达矿业,铅锌,北京,54.09,4.11,7.23,272033.28,83883.38,18819.72,135915.97,1.88,0.134,3.12,4.66,19960823,75774.81,1.05,17.7,27.87,62.42,33.72,38015.0,3.05593220339
002267,陕天然气,供气供热,陕西,18.78,11.12,11.12,1054396.25,183174.38,695706.0,128990.01,1.16,0.227,4.9,1.74,20080813,240566.41,2.16,6.11,-34.44,10.98,6.19,34285.0,3.0736497545
600886,国投电力,水力发电,北京,19.33,67.86,67.86,20634550.0,1279145.63,12601256.0,647113.19,0.95,0.19,4.41,1.66,19960118,1556276.0,2.29,6.28,-13.21,40.34,9.24,214014.0,3.07802547771
600115,东方航空,空运,上海,11.28,98.08,144.68,22369800.0,2354000.0,15507299.0,2676000.0,1.85,0.3,3.57,1.9,19971105,1279500.0,0.88,3.64,34.46,11.24,9.05,272680.0,3.0989010989
